日期,开盘,收盘,最高,最低,成交量,成交额
2020-01-02,111.7946280000,111.8623823200,113.0650215000,109.7535291100,30667439,4038536854.9500
2020-01-03,111.4558564000,110.5665809500,111.8539130300,109.7704676900,20469248,2672531470.2300
2020-01-06,110.1007700000,109.4232268000,110.3125022500,108.8473150800,25936979,3353682073.1300
2020-01-07,109.6773055000,109.5672047300,111.0069840300,109.2538410000,22327793,2901574233.0800
2020-01-08,109.2453717100,109.1606788100,109.8975070400,108.4492584500,16180218,2083242871.0500
2020-01-09,109.2538410000,110.7529053300,111.1170848000,108.6186442500,25549057,3317934212.4100
2020-01-10,110.5242345000,113.1666529800,113.5308324500,110.5242345000,42969542,5712380855.9700
2020-01-13,113.7086875400,118.2821041400,118.5700600000,113.7002182500,49604194,6847185988.3000
2020-01-14,118.6547529000,117.3504822400,119.1459717200,117.0455878000,19907317,2767444878.8900
2020-01-15,117.3504822400,119.2476032000,120.9499304900,117.3420129500,23478904,3309331109.8100
2020-01-16,119.2476032000,119.1290331400,120.2639180000,117.9772097000,14535988,2046672621.1200
2020-01-17,119.6371905400,117.3420129500,120.0945322000,117.1302807000,14847814,2068064059.8500
2020-01-20,119.0358709500,116.5035532400,119.1290331400,115.8598872000,16753769,2308928098.7000
2020-01-21,115.6058085000,112.3197239800,115.6058085000,111.8030972900,29307308,3903226854.5200
2020-01-22,110.9392297100,111.5405493000,112.3620704300,109.8975070400,25753051,3375415201.5200
2020-01-23,111.5998343300,106.8485626400,111.5998343300,105.8661250000,41593668,5294268764.0200
2020-02-03,96.1603186600,96.1603186600,96.1603186600,96.1603186600,16763900,1903373206.0000
2020-02-04,92.3152610000,96.9733705000,101.6314800000,92.3152610000,71021426,8017646168.9900
2020-02-05,98.1590711000,99.5226267900,101.4620942000,96.6345989000,38878339,4546389350.9300
2020-02-06,100.7845510000,100.9115903500,101.5806642600,98.7519214000,30655105,3619248778.7700
2020-02-07,100.9962832500,102.1226988200,102.4191239700,99.6073196900,28011695,3346691769.0700
2020-02-10,101.2080155000,102.5885097700,103.6048245700,100.4288408200,22187650,2682789606.0400
2020-02-11,102.6054483500,105.6882699100,106.2895895000,102.6054483500,24577382,3049430907.6300
2020-02-12,105.4426605000,105.4341912100,106.0778572500,103.9774733300,17511362,2168783486.4800
2020-02-13,105.7644935200,105.1377660600,107.2720271400,104.4856307300,17862884,2230165010.3700
2020-02-14,105.1885818000,104.5364464700,106.6114225200,103.7064560500,16971973,2094049251.5400
2020-02-17,104.3247142200,105.2732747000,105.2732747000,103.8165568200,23816908,2941280509.9800
2020-02-18,104.8498102000,104.5025693100,105.2732747000,104.1807362900,12872775,1590249168.5900
2020-02-19,104.8328716200,106.7130540000,107.7124302200,103.9012497200,31662776,3976674952.0200
2020-02-20,107.5599830000,110.2278093500,110.5919888200,107.4668208100,33466160,4332207305.9700
2020-02-21,110.1007700000,110.1007700000,111.1170848000,109.2707795800,20743751,2695003477.3100
2020-02-24,109.5926126000,107.6446759000,109.5926126000,107.3059043000,23560124,3005249413.4900
2020-02-25,105.6967392000,106.1202037000,107.5599830000,104.9006259400,24063330,3014293143.3100
2020-02-26,104.8752180700,105.1038889000,107.0687641800,104.1722670000,21417866,2662201890.9500
2020-02-27,105.6967392000,106.9671327000,108.1951797500,105.4426605000,23573167,2986686525.4400
2020-02-28,105.0191960000,102.1396374000,105.0446038700,100.7845510000,36601211,4445668089.2600
2020-03-02,101.7161729000,103.8758418500,104.6804244000,101.2927084000,26982238,3287615181.0000
2020-03-03,104.7651173000,105.3325597300,106.6114225200,104.7651173000,23092324,2878896360.5700
2020-03-04,105.0191960000,106.0947958300,106.6537689700,105.0191960000,19757510,2471690889.5100
2020-03-05,107.1788649500,112.8109428000,114.2337835200,106.7130540000,56561987,7399037627.0700
2020-03-06,111.7946280000,110.1600550300,114.2337835200,110.1007700000,29165822,3845033468.4600
2020-03-09,108.4069120000,106.9671327000,108.6186442500,106.7469311600,24454158,3106158207.3700
2020-03-10,106.9671327000,110.7105588800,111.4812642700,106.8824398000,31077221,4017374185.6200
2020-03-11,112.2180925000,110.0160771000,112.4721712000,109.6773055000,18763487,2452609914.8300
2020-03-12,107.4583515200,106.7469311600,108.5000741900,106.5944839400,25266000,3199005135.6900
2020-03-13,101.6314800000,103.8334954000,106.0524493800,100.6829195200,35088698,4280415922.7100
2020-03-16,102.8171806000,97.8202995000,103.6641096000,96.8971468900,37024247,4379489484.6900
2020-03-17,96.9733705000,95.1609424400,99.5819118200,91.9595508200,35297954,3975112228.2100
2020-03-18,95.8723628000,91.1210911100,98.2183561300,90.3588550100,40442259,4528147000.3400
2020-03-19,89.6050882000,86.4799201900,90.6214030000,83.5326072700,60169789,6133825332.9100
2020-03-20,88.3516332800,91.9002657900,92.8742341400,88.2584710900,42206390,4484741875.1500
2020-03-23,88.0806160000,88.5125497900,90.1979385000,87.2675641600,32826540,3443583082.0400
2020-03-24,90.6891573200,92.3576074500,93.0690278100,89.8083511600,35636342,3859693788.5000
2020-03-25,95.7876699000,96.5499060000,97.3629578400,94.7205393600,30947333,3508691590.5500
2020-03-26,95.6860384200,96.4567438100,98.4978427000,94.7713551000,20880123,2397709906.1100
2020-03-27,97.9049924000,98.0828474900,99.7682362000,97.9049924000,23543496,2745616755.8700
2020-03-30,95.5505297800,95.8977706700,96.5668445800,94.6019693000,20580583,2321514404.4500
2020-03-31,97.3968350000,97.5662208000,98.7434521100,96.6007217400,18849621,2179898621.2400
2020-04-01,98.2437640000,97.3968350000,99.0822237100,96.9225547600,17596852,2033698724.2500
2020-04-02,96.5499060000,99.2516095100,99.2516095100,96.1433800800,19153739,2218330786.4200
2020-04-03,99.6835433000,99.5310960800,101.1826076300,98.9213072000,17580586,2076905527.1100
2020-04-07,102.1396374000,105.1377660600,105.5104148200,102.1396374000,29451150,3627761364.5800
2020-04-08,105.1377660600,106.1032651200,106.7045847100,104.5364464700,20113362,2515223465.7400
2020-04-09,107.2635578500,105.8491864200,108.0681404000,104.1807362900,15879620,1985606241.4500
2020-04-10,105.8491864200,107.1534570800,109.0844552000,105.1885818000,19896089,2526071157.9200
2020-04-13,105.9931643500,105.8661250000,107.5769215800,105.1885818000,14606018,1831925095.0400
2020-04-14,107.2296806900,108.7880300500,109.1522095200,106.0355108000,19461888,2481573352.8100
2020-04-15,108.8049686300,108.3306883900,110.3379101200,107.7378380900,16296718,2095661173.6900
2020-04-16,107.5684522900,106.7977469000,108.2375262000,106.3065280800,18825435,2379554855.7300
2020-04-17,107.7039609300,109.1013937800,109.8466913000,107.3397814600,23471089,3022344869.2800
