code,year,indicator,value
sh.601398,2020,ROE,0.113438
sh.601398,2020,净利润率,0.359916
sh.601398,2021,ROE,0.113258
sh.601398,2021,净利润率,0.371479
sh.601398,2022,ROE,0.106764
sh.601398,2022,净利润率,0.393292
sh.601398,2023,ROE,0.100383
sh.601398,2023,净利润率,0.433079
sh.601398,2024,ROE,0.094701
sh.601398,2024,净利润率,0.446513
sh.600036,2020,ROE,0.145825
sh.600036,2020,净利润率,0.337229
sh.600036,2021,ROE,0.151561
sh.600036,2021,净利润率,0.364779
sh.600036,2022,ROE,0.152986
sh.600036,2022,净利润率,0.404005
sh.600036,2023,ROE,0.145016
sh.600036,2023,净利润率,0.436438
sh.600036,2024,ROE,0.128902
sh.600036,2024,净利润率,0.443154
sz.002594,2020,ROE,0.074523
sz.002594,2020,净利润率,0.038404
sz.002594,2021,ROE,0.040083
sz.002594,2021,净利润率,0.018355
sz.002594,2022,ROE,0.161305
sz.002594,2022,净利润率,0.04177
sz.002594,2023,ROE,0.240481
sz.002594,2023,净利润率,0.052039
sz.002594,2024,ROE,0.248437
sz.002594,2024,净利润率,0.053517
sh.600104,2020,ROE,0.080152
sh.600104,2020,净利润率,0.040368
sh.600104,2021,ROE,0.091905
sh.600104,2021,净利润率,0.044665
sh.600104,2022,ROE,0.058291
sh.600104,2022,净利润率,0.031682
sh.600104,2023,ROE,0.049885
sh.600104,2023,净利润率,0.027624
sh.600104,2024,ROE,0.005805
sh.600104,2024,净利润率,0.009499
sz.000002,2020,ROE,0.201254
sz.000002,2020,净利润率,0.141485
sz.000002,2021,ROE,0.097832
sz.000002,2021,净利润率,0.084076
sz.000002,2022,ROE,0.094508
sz.000002,2022,净利润率,0.07453
sz.000002,2023,ROE,0.049294
sz.000002,2023,净利润率,0.043921
sz.000002,2024,ROE,-0.218231
sz.000002,2024,净利润率,-0.141921
sh.600048,2020,ROE,0.172182
sh.600048,2020,净利润率,0.164743
sh.600048,2021,ROE,0.145761
sh.600048,2021,净利润率,0.13052
sh.600048,2022,ROE,0.093648
sh.600048,2022,净利润率,0.096119
sh.600048,2023,ROE,0.061129
sh.600048,2023,净利润率,0.051608
sh.600048,2024,ROE,0.02525
sh.600048,2024,净利润率,0.031245
sh.600519,2020,ROE,0.314108
sh.600519,2020,净利润率,0.521763
sh.600519,2021,ROE,0.299036
sh.600519,2021,净利润率,0.524724
sh.600519,2022,ROE,0.324077
sh.600519,2022,净利润率,0.526795
sh.600519,2023,ROE,0.361755
sh.600519,2023,净利润率,0.52488
sh.600519,2024,ROE,0.384283
sh.600519,2024,净利润率,0.522734
sz.000858,2020,ROE,0.24944
sz.000858,2020,净利润率,0.364846
sz.000858,2021,ROE,0.253034
sz.000858,2021,净利润率,0.370153
sz.000858,2022,ROE,0.250507
sz.000858,2022,净利润率,0.378142
sz.000858,2023,ROE,0.248051
sz.000858,2023,净利润率,0.378528
sz.000858,2024,ROE,0.242374
sz.000858,2024,净利润率,0.372228
sh.601088,2020,ROE,0.11001
sh.601088,2020,净利润率,0.202625
sh.601088,2021,ROE,0.136403
sh.601088,2021,净利润率,0.177077
sh.601088,2022,ROE,0.180676
sh.601088,2022,净利润率,0.237002
sh.601088,2023,ROE,0.148762
sh.601088,2023,净利润率,0.202866
sh.601088,2024,ROE,0.140435
sh.601088,2024,净利润率,0.203517
sh.600900,2020,ROE,0.16353
sh.600900,2020,净利润率,0.458718
sh.600900,2021,ROE,0.148779
sh.600900,2021,净利润率,0.475961
sh.600900,2022,ROE,0.116267
sh.600900,2022,净利润率,0.415849
sh.600900,2023,ROE,0.140836
sh.600900,2023,净利润率,0.357903
sh.600900,2024,ROE,0.157895
sh.600900,2024,净利润率,0.389744
