date,open,close,high,low,volume,amount
2020-01-02,5306.6670,5366.1370,5374.9080,5288.1670,14589440512,136813752320.0000
2020-01-03,5376.0320,5380.6370,5395.2580,5351.8040,12845202176,122199724032.0000
2020-01-06,5365.2170,5434.8500,5481.5500,5355.0230,15958741504,158190936064.0000
2020-01-07,5441.9030,5499.8390,5499.8390,5440.6910,14414272256,142194163712.0000
2020-01-08,5481.9840,5423.7960,5500.1600,5409.5690,15540684800,149838069760.0000
2020-01-09,5465.8570,5497.5420,5497.5420,5457.3490,13243166720,135961014272.0000
2020-01-10,5511.6730,5480.2270,5516.0940,5455.2510,11381982208,118196969472.0000
2020-01-13,5478.3150,5559.6270,5559.6270,5447.7310,11807618048,128651948032.0000
2020-01-14,5576.6290,5542.3310,5583.7200,5539.8990,12981138432,134845329408.0000
2020-01-15,5532.9610,5530.0260,5545.1010,5492.6500,11242501888,118142836736.0000
2020-01-16,5539.4210,5527.6670,5559.0170,5514.6910,11189727488,122337955840.0000
2020-01-17,5539.7230,5510.0450,5555.4110,5499.4670,10494932992,110491856896.0000
2020-01-20,5523.0090,5587.5350,5587.5350,5500.5930,11540300032,128212119552.0000
2020-01-21,5581.0100,5523.9410,5581.9800,5515.1920,12460480768,135220985856.0000
2020-01-22,5502.5870,5575.5120,5597.9930,5440.1990,12347476992,138250256384.0000
2020-01-23,5521.7920,5377.7410,5558.4250,5326.9310,14577307136,161861918720.0000
2020-02-03,4896.8940,4910.9010,4960.7450,4896.8940,8177708288,89455038464.0000
2020-02-04,4736.1220,4996.4740,5013.7690,4736.1220,18967227904,175374995456.0000
2020-02-05,5035.4080,5123.9610,5178.4370,5026.4080,17109533952,177352351744.0000
2020-02-06,5128.1860,5282.8920,5299.1780,5100.4810,18595745536,197274054656.0000
2020-02-07,5287.2690,5327.0360,5329.3550,5226.6990,19114764288,203495542784.0000
2020-02-10,5322.0080,5388.4340,5389.0380,5301.4120,17670328320,186767921152.0000
2020-02-11,5390.5250,5361.2760,5396.9550,5323.7600,15250817792,157302894592.0000
2020-02-12,5345.5220,5459.9460,5461.6730,5340.4870,15104147200,164552224768.0000
2020-02-13,5456.6590,5412.8410,5482.7950,5397.2320,15820264192,175679827968.0000
2020-02-14,5407.4730,5420.8020,5474.4680,5375.9250,14534649600,162742005760.0000
2020-02-17,5454.4620,5594.4360,5594.4360,5454.4620,17463665664,183878721536.0000
2020-02-18,5607.8400,5660.8140,5660.8140,5577.8980,18509870080,206428524544.0000
2020-02-19,5654.1770,5603.2620,5678.8190,5601.3910,18564208384,210591420416.0000
2020-02-20,5619.5200,5706.7120,5712.1820,5580.0670,19207602688,205564977152.0000
2020-02-21,5704.8360,5784.0320,5822.3970,5700.9510,20723623936,230175047680.0000
2020-02-24,5784.5750,5865.4660,5884.1390,5754.6790,21809896192,250154434560.0000
2020-02-25,5745.6170,5897.7210,5912.2740,5643.8840,26736667904,301960916992.0000
2020-02-26,5824.0480,5743.3920,5885.2700,5724.4990,26637508096,281045745664.0000
2020-02-27,5770.2180,5753.7270,5829.0370,5689.5390,20469487616,221902086144.0000
2020-02-28,5558.4150,5451.2890,5641.7720,5438.8520,22430670848,232879771648.0000
2020-03-02,5516.4380,5656.4190,5683.2420,5505.2680,19951161088,213505003520.0000
2020-03-03,5756.7910,5710.0230,5832.3530,5658.1200,22632549376,244204351488.0000
2020-03-04,5670.4990,5716.5110,5719.1780,5603.9280,18513309696,194980151296.0000
2020-03-05,5795.2500,5801.1190,5811.2070,5732.1680,21723222016,217238388736.0000
2020-03-06,5737.0950,5763.8600,5802.6290,5723.7320,18529714688,177496498176.0000
2020-03-09,5668.6366,5525.8167,5699.9198,5525.8167,21853808900,212042107536.0000
2020-03-10,5459.1732,5675.1113,5675.8756,5423.4289,20840287700,210472315060.8000
2020-03-11,5692.7173,5589.5311,5708.9152,5589.5311,18775091200,190010266287.6000
2020-03-12,5507.3213,5493.8838,5549.3501,5446.7941,15875315700,154102925606.4000
2020-03-13,5225.5063,5457.2006,5507.3899,5224.7267,19526665900,188405108227.1000
2020-03-16,5496.8890,5200.1142,5496.8890,5183.3436,18684995200,184923547742.5000
2020-03-17,5245.5231,5212.0619,5300.5591,5052.6546,15913787800,152551271989.0000
2020-03-18,5257.9438,5119.4716,5333.1204,5119.4716,16428660400,160536059992.1000
2020-03-19,5119.9437,5157.8235,5185.0889,5020.4387,15459370200,148680627064.8000
2020-03-20,5217.4880,5219.2809,5225.0268,5129.0733,12751328900,131519032482.5000
2020-03-23,5079.3549,4998.9095,5129.1405,4981.6682,13868474500,133727699571.8000
2020-03-24,5089.1516,5096.0408,5118.0355,4963.2918,14078770500,137371423374.7000
2020-03-25,5200.7752,5217.4237,5229.2205,5160.3887,14688107000,142310080633.2000
2020-03-26,5180.4657,5166.1091,5227.4679,5157.1478,12565245000,126982007995.4000
2020-03-27,5222.8511,5137.3371,5227.7921,5134.4903,11704507300,118480791099.6000
2020-03-30,5073.7047,5027.4856,5074.6251,4974.3165,12398131600,124559163372.3000
2020-03-31,5073.5232,5041.4534,5090.5675,5030.5730,11160561200,106538446158.7000
2020-04-01,5029.5837,5019.2187,5108.1750,5007.7115,11215411100,110651112519.1000
2020-04-02,4998.6259,5147.2019,5147.2019,4998.1063,11335107800,117822171439.6000
2020-04-03,5143.5185,5107.0393,5161.5728,5085.0948,10947897800,112751173060.0000
2020-04-07,5202.5465,5267.0730,5273.0857,5197.5826,14510945200,146826555108.9000
2020-04-08,5243.1623,5271.7961,5291.4149,5232.6161,13778625400,136499534391.4000
2020-04-09,5301.2663,5322.4614,5336.1174,5289.3845,12509846200,128352885531.3000
2020-04-10,5321.7865,5208.5102,5321.7865,5197.9841,12381638800,126468212009.4000
2020-04-13,5176.4431,5169.1757,5198.3708,5140.8505,9818099300,101355716432.4000
2020-04-14,5197.1716,5288.5930,5288.5930,5189.8242,11018824400,118917318030.8000
2020-04-15,5291.9664,5268.7497,5320.5792,5264.0114,12247740000,128025726348.5000
2020-04-16,5245.9247,5316.9707,5328.1204,5238.4335,12074219300,122069165005.5000
2020-04-17,5354.9828,5318.4547,5377.1470,5309.5809,13696983300,156745771336.3000
2020-04-20,5329.8688,5381.7857,5381.7857,5311.1974,12064218200,130825823688.0000
2020-04-21,5358.6005,5343.8806,5358.6005,5287.6633,13074442600,139768427426.9000
2020-04-22,5304.7310,5387.6233,5388.2073,5296.2644,12359700600,127945771531.0000
2020-04-23,5402.6478,5357.7904,5407.4900,5354.9401,14461830200,145324602210.3000
2020-04-24,5350.5426,5273.5474,5354.7629,5258.5692,13138336700,127211203386.7000
2020-04-27,5278.9787,5265.7248,5314.4114,5249.3133,11713242700,110738403020.7000
2020-04-28,5268.1255,5227.8460,5273.2565,5102.0608,14082491000,133971236966.9000
2020-04-29,5203.7103,5226.8116,5269.7350,5201.4734,10592684900,103339319168.3000
2020-04-30,5261.0467,5353.8595,5368.8943,5261.0467,13303668600,142523793301.1000
2020-05-06,5320.9400,5451.3159,5451.4560,5318.4430,14167905000,159945700644.7000
2020-05-07,5454.2515,5445.7519,5473.7738,5425.7964,14014635400,147975355319.2000
2020-05-08,5474.8739,5507.6965,5527.0903,5467.6460,13631862200,146384767223.1000
2020-05-11,5529.1056,5496.1920,5547.9416,5466.6158,12985198500,142054909597.6000
2020-05-12,5494.0693,5512.4640,5519.2868,5441.7013,11594367700,127585356336.7000
2020-05-13,5495.8969,5536.2802,5546.5535,5483.9868,10789582200,120477112076.0000
2020-05-14,5513.0817,5487.1070,5528.0915,5485.0152,11919770100,129595787537.9000
2020-05-15,5510.1454,5507.9336,5543.9334,5486.2557,11265151100,132317035662.0000
2020-05-18,5522.7233,5478.8218,5528.7754,5454.9615,13365466400,158389049357.7000
