date,m2_yoy
2026-04,8.6
2026-03,8.5
2026-02,9.0
2026-01,9.0
2025-12,8.5
2025-11,8.0
2025-10,8.2
2025-09,8.4
2025-08,8.8
2025-07,8.8
2025-06,8.3
2025-05,7.9
2025-04,8.0
2025-03,7.0
2025-02,7.0
2025-01,7.0
2024-12,7.3
2024-11,7.1
2024-10,7.5
2024-09,6.8
2024-08,6.3
2024-07,6.3
2024-06,6.2
2024-05,7.0
2024-04,7.2
2024-03,8.3
2024-02,8.7
2024-01,8.7
2023-12,9.7
2023-11,10.0
2023-10,10.3
2023-09,10.3
2023-08,10.6
2023-07,10.7
2023-06,11.3
2023-05,11.6
2023-04,12.4
2023-03,12.7
2023-02,12.9
2023-01,12.6
2022-12,11.8
2022-11,12.4
2022-10,11.8
2022-09,12.1
2022-08,12.2
2022-07,12.0
2022-06,11.4
2022-05,11.1
2022-04,10.5
2022-03,9.7
2022-02,9.2
2022-01,9.8
2021-12,9.0
2021-11,8.5
2021-10,8.7
2021-09,8.3
2021-08,8.2
2021-07,8.3
2021-06,8.6
2021-05,8.3
2021-04,8.1
2021-03,9.4
2021-02,10.1
2021-01,9.4
2020-12,10.1
2020-11,10.7
2020-10,10.5
2020-09,10.9
2020-08,10.4
2020-07,10.7
2020-06,11.1
2020-05,11.1
2020-04,11.1
2020-03,10.1
2020-02,8.8
2020-01,8.4
