日期,开盘,收盘,最高,最低,成交量,成交额
2020-01-02,15.4270950300,15.5823687900,15.6794148900,15.3688673700,15934570,765516493.1500
2020-01-03,15.5920734000,15.5403154800,15.8476281300,15.4238601600,12993607,628361961.3700
2020-01-06,15.3300489300,15.6179523600,15.9123255300,15.2653515300,16987138,822172472.9800
2020-01-07,15.6276569700,15.5435503500,15.6891195000,15.4529739900,9340058,449013435.6700
2020-01-08,15.3818068500,15.2944653600,15.6405964500,15.2524120500,11097445,529249404.0700
2020-01-09,15.4465042500,15.4141555500,15.5920734000,15.3268140600,8921700,425352462.6000
2020-01-10,15.4173904200,15.1780100400,15.4173904200,15.0777290700,10929463,512929719.0800
2020-01-13,16.6951640700,16.6951640700,16.6951640700,16.3393283700,51882759,2662873914.8000
2020-01-14,17.7917850000,17.2871452800,18.1120371300,17.1448110000,61497596,3356918724.9100
2020-01-15,17.4715328700,17.2450919700,17.7109132500,16.9119003600,29870523,1594534514.3000
2020-01-16,17.3033196300,17.4974118300,17.6429809800,16.7501568600,33573707,1778235678.3600
2020-01-17,17.4230098200,18.7460716500,19.2474765000,17.2095084000,53060038,3022542423.3600
2020-01-20,18.5358051000,19.0080961200,19.3768713000,18.2770155000,30077562,1742179866.5400
2020-01-21,18.6716696400,18.3481826400,18.6749045100,18.2931898500,20383657,1161444870.5400
2020-01-22,18.2770155000,19.1730744900,19.5709635000,18.1476207000,32797995,1927419433.5500
2020-01-23,18.7590111300,19.3542272100,20.0173755600,18.6037373700,29158496,1735366427.8700
2020-02-03,17.4197749500,17.4197749500,17.6235717600,17.4197749500,10039800,540735185.5300
2020-02-04,17.4682980000,18.2317273200,18.6005025000,17.4682980000,36777530,2057907669.3000
2020-02-05,18.6651999000,19.6712444700,20.0561940000,18.4355241300,44623025,2698234964.6800
2020-02-06,18.9078151500,19.6518352500,19.6841839500,18.8916408000,30113181,1792085752.6200
2020-02-07,19.6486003800,18.7298973000,19.6486003800,18.3287734200,32128159,1868897083.3800
2020-02-10,19.1504304000,19.7100629100,20.4961363200,19.0372099500,35279646,2143782477.4700
2020-02-11,19.4092200000,19.0986724800,19.4480384400,18.8528223600,19617574,1162310506.2400
2020-02-12,19.0986724800,19.1471955300,19.6033122000,18.8754664500,19745556,1171671704.8500
2020-02-13,18.9239895000,18.6166768500,19.4512733100,18.6005025000,23694703,1387055829.5900
2020-02-14,18.6199117200,18.4064103000,18.7298973000,18.2576062800,21117383,1205977325.2900
2020-02-17,18.4096451700,18.9175197600,18.9433987200,18.4096451700,20988900,1215249654.9100
2020-02-18,18.6975486000,19.2377718900,19.4092200000,18.6878439900,22836532,1350970758.8600
2020-02-19,20.8552068900,20.0270801700,20.8584417600,19.9462084200,43747653,2773613068.1100
2020-02-20,20.4346737900,22.0294647000,22.0294647000,20.4152645700,64939094,4366081680.3500
2020-02-21,21.6736290000,21.8353725000,22.0844574900,21.2466261600,45518916,3046190980.6700
2020-02-24,21.1625195400,21.4148394000,21.7189171800,21.0137155200,35796879,2351741646.7300
2020-02-25,20.8325628000,22.9190539500,23.3525265300,20.7581607900,40743409,2786635361.1100
2020-02-26,22.5729228600,23.1940179000,24.5203146000,22.3206030000,52276832,3774510844.1900
2020-02-27,23.1875481600,22.6602643500,23.6630740500,22.0229949600,27269996,1912686987.0200
