stock,name,code,industry,gamma,gamma_p,gamma_ci_low,gamma_ci_high,r2,nobs,industry_rank
招商银行(600036),招商银行,600036,银行,-1.8804761165340784,0.3578405061627895,-5.935905075482383,2.1749528424142266,0.01302183968690862,67,0
工商银行(601398),工商银行,601398,银行,-1.2616111571782926,0.1523741137009475,-3.001461020370158,0.47823870601357243,0.03125640973142274,67,0
比亚迪(002594),比亚迪,002594,汽车,-0.7535919788135259,0.8101119896036824,-6.991752093553142,5.484568135926089,0.0008946919285707233,67,1
上汽集团(600104),上汽集团,600104,汽车,-0.7186514199484794,0.737748868762279,-4.9867605218637285,3.54945768196677,0.0017366545158953306,67,1
万科A(000002),万科A,000002,房地产,3.5982785339564884,0.17528692407319982,-1.6457632037303354,8.842320271643313,0.028079588155442203,67,2
保利发展(600048),保利发展,600048,房地产,2.3072454582528588,0.36298958524897434,-2.7225317329458134,7.337022649451531,0.01274738642547879,67,2
五粮液(000858),五粮液,000858,白酒,-2.9714060002914433,0.2673394448103205,-8.27553709255439,2.332725091971505,0.018893584620764847,67,3
贵州茅台(600519),贵州茅台,600519,白酒,-1.7180501679710403,0.42648357114608987,-6.0057118223048,2.569611486362719,0.009756085643758183,67,3
长江电力(600900),长江电力,600900,能源,-0.39111764106454716,0.7469797636263372,-2.801983472000042,2.0197481898709477,0.0016123921013563303,67,4
中国神华(601088),中国神华,601088,能源,1.4785632808788571,0.4152443458192584,-2.1227713974693394,5.079897959227054,0.010237329718624233,67,4
