股票,行业,年化均值,年化波动率,偏度,峰度,最大回撤
招商银行(600036),银行,0.037431566272432985,0.2752053595846561,0.27020465485280654,3.225785553317258,-0.5094386115826548
工商银行(601398),银行,0.08941417150122026,0.16228378869368246,0.45078127167326787,5.775423930203491,-0.20202416788533273
比亚迪(002594),汽车,0.2928833433116365,0.4306638674170866,0.3102507273598367,2.110973306033128,-0.5253686264855647
上汽集团(600104),汽车,-0.07869989998941757,0.3147524133612224,0.3475885513609861,5.370122219182166,-0.539864879443003
万科A(000002),房地产,-0.33286021103472757,0.36265927908627077,0.6536607787842204,3.250086078139157,-0.8780576536717184
保利发展(600048),房地产,-0.12609973455904833,0.3611197350753184,0.5567463508517877,3.154706409956484,-0.6765481415263371
五粮液(000858),白酒,-0.046694344661752485,0.34334909086882137,0.09485289788917445,3.3676048374622685,-0.7157405543316151
贵州茅台(600519),白酒,0.04504244496930928,0.2758354100994871,0.2618501271774572,3.636981854735395,-0.4748213830116609
长江电力(600900),能源,0.09330202589619252,0.177344959529447,0.36970596260709027,3.575457467860664,-0.175402393726785
中国神华(601088),能源,0.22103971502006545,0.29818557528169126,0.31577972144580735,3.288608223646806,-0.21466524973432521
