stock,name,code,industry,alpha,alpha_p,beta,beta_ci_low,beta_ci_high,r2,nobs
招商银行(600036),招商银行,600036,银行,5.081533691930292e-05,0.8845554630720299,0.8919015858602949,0.8339398581701568,0.949863313550433,0.37138793441386087,1544
工商银行(601398),工商银行,601398,银行,0.00027102067079012003,0.2823644964890234,0.21534776518906157,0.17360237993064104,0.2570931504474821,0.06226416307031468,1544
比亚迪(002594),比亚迪,002594,汽车,0.0010566688625626543,0.06589147702345648,1.273002546714912,1.1779013483539196,1.3681037450759044,0.30895082964974596,1544
上汽集团(600104),上汽集团,600104,汽车,-0.000409046575751107,0.34810309413959306,0.8444224075046535,0.7722309591943198,0.9166138558149871,0.25450074261008104,1544
万科A(000002),万科A,000002,房地产,-0.0014209440015783067,0.00424512814240064,1.0059560618342127,0.9237622688008864,1.088149854867539,0.27206215216382834,1544
保利发展(600048),保利发展,600048,房地产,-0.0005973532629968896,0.24955742425292116,0.8547275620286425,0.7688247562008146,0.9406303678564705,0.1980891389229127,1544
五粮液(000858),五粮液,000858,白酒,-0.0002908395169060034,0.46171719403199063,1.27192743992578,1.2064895170230039,1.3373653628285562,0.4852444343145348,1544
贵州茅台(600519),贵州茅台,600519,白酒,7.957460187220009e-05,0.8116900997386128,0.9619920098980483,0.906676166430353,1.0173078533657438,0.43008132767902774,1544
长江电力(600900),长江电力,600900,能源,0.00028627369423466566,0.30027955419410773,0.2238486941349367,0.17808502604731621,0.26961236222255713,0.05633510710363698,1544
中国神华(601088),中国神华,601088,能源,0.0007895173839501606,0.08810057947011797,0.40127640605903103,0.3246445459502464,0.4779082661678157,0.06403562933616891,1544
